AVL,ENRL,ABBR,NUM,TYPE,SEC,TITLE,CR,TIME,DAYS,ROOM,BUILDING,INSTR
18,2,CSC,7090,,6,IND,1-9,DESIGN PROJECT,TBA,WANG,"Q
",
18,2,CSC,7090,,7,IND,1-9,DESIGN PROJECT,TBA,KARKI,"B
",
4,21,CSC,7103,,1,ADV OPERATING SYSTMS,3.0,500-0620N,T TH,1240,PATRICK TAYLOR,CHEN
6,34,CSC,7300,,1,ALGORTHM DSGN &amp; ANLY,3.0,500-0750N,M,0100,TUREAUD HALL,SHAH
19,11,CSC,7360,,1,MEMORY FORENSICS,3.0,630-0750N,T TH,SYLVE,"J
",
F,**,WORLD,WIDE,WEB-BASED,,"DELIVERY
",,,,,,
8,16,CSC,7442,,1,DATA MINING KNOW DEV,3.0,1030-1150,T TH,"TRIANTAPHYLLO
",,
F,**,WORLD,WIDE,WEB-BASED,,"DELIVERY
",,,,,,
7,12,CSC,7700,,2,ADV TRENDS CYB&amp;FOREN,3.0,900-1020,T TH,1218,PATRICK TAYLOR,BAGGILI
19,6,CSC,7700,,1,CYBER-PHYSICAL SECUR,3.0,900-1150,W,1835,BUS,ED
7,13,CSC,7800,,1,SEM,1.0,CSC RESEARCH SEMINAR,930-1020,M,0117,TUREAUD HALL
4,1,CSC,7999,,1,RES,1-3,SEL READINGS IN CSC,TBA,SUN,"M
",
4,1,CSC,7999,,2,RES,1-3,SEL READINGS IN CSC,TBA,MAHMOUD,"A
",
98,1,CSC,7999,,6,RES,1-3,SEL READINGS IN CSC,TBA,PARK,"S
",
19,1,CSC,8000,,1,RES,1-12,THESIS RESEARCH,TBA,BAUMGARTNER,"G
",
19,1,CSC,8000,,2,RES,1-12,THESIS RESEARCH,TBA,WANG,"C
",
18,2,CSC,8000,,3,RES,1-12,THESIS RESEARCH,TBA,KAISER,"H
",
19,1,CSC,8000,,4,RES,1-12,THESIS RESEARCH,"TBA
",,,
97,2,CSC,9000,,1,RES,1-12,DISSERTATION RES,TBA,"MUKHOPADHYAY
",,
96,3,CSC,9000,,2,RES,1-12,DISSERTATION RES,TBA,WANG,"C
",
96,3,CSC,9000,,3,RES,1-12,DISSERTATION RES,TBA,RICHARD,"G
",
98,1,CSC,9000,,4,RES,1-12,DISSERTATION RES,TBA,MAHMOUD,"A
",
97,2,CSC,9000,,5,RES,1-12,DISSERTATION RES,TBA,KAISER,"H
",
97,2,CSC,9000,,6,RES,1-12,DISSERTATION RES,TBA,ZHANG,"J
",
98,1,CSC,9000,,7,RES,1-12,DISSERTATION RES,TBA,WEBB,"A
",
97,2,CSC,9000,,8,RES,1-12,DISSERTATION RES,TBA,WANG,"H
",
98,1,CSC,9000,,9,RES,1-12,DISSERTATION RES,TBA,CHEN,"F
",
95,4,CSC,9000,,10,RES,1-12,DISSERTATION RES,TBA,BAUMGARTNER,"G
",
98,1,CSC,9000,,11,RES,1-12,DISSERTATION RES,TBA,CARVER,"D
",
98,1,CSC,9000,,12,RES,1-12,DISSERTATION RES,TBA,LEE,"K
",
97,2,CSC,9000,,13,RES,1-12,DISSERTATION RES,TBA,SUN,"M
",
96,3,CSC,9000,,14,RES,1-12,DISSERTATION RES,TBA,WANG,"Q
",
97,2,CSC,9000,,15,RES,1-12,DISSERTATION RES,TBA,KARKI,"B
",
98,1,CSC,9000,,16,RES,1-12,DISSERTATION RES,TBA,CHEN,"J
",
98,1,CSC,9000,,17,RES,1-12,DISSERTATION RES,TBA,"TRIANTAPHYLLO
",,
F,SESSION,B,OFFERINGS,BELOW,,08/22/2022,-,"10/08/2022
",,,,
18,7,CSC,7740,,2,BIG DATA SYS &amp; APP,3.0,TBA,LEE,"K
",,
F,**,WORLD,WIDE,WEB-BASED,,"DELIVERY
",,,,,,
